WS2M : Wind speed at 2 meters,,,
KT: Clearness index,,,
,,,
YEAR,DOY,WS2M,ALLSKY_SFC_SW_DWN
ENDHEADER,,,
2014,305,6.25,5.24
2014,306,7.37,5.66
2014,307,7.62,4.16
2014,308,7.19,5.58
2014,309,8.04,5.1
2014,310,8.01,5.45
2014,311,6.58,5.35
2014,312,5.79,5.45
2014,313,7.14,5.49
2014,314,6.84,4.96
2014,315,6.1,5.04
2014,316,5.95,3.73
2014,317,6.38,3.79
2014,318,5.89,5.2
2014,319,6.26,4.93
2014,320,5.63,5.16
2014,321,6.26,5.26
2014,322,7.77,4.93
2014,323,8.4,4.51
2014,324,8.16,5.27
2014,325,8.14,5
2014,326,7.05,4.46
2014,327,6.84,4.94
2014,328,6.75,4.98
2014,329,6.76,1.74
2014,330,7.15,4.91
2014,331,6.62,4.4
2014,332,5.66,2.49
2014,333,5.86,4.9
2014,334,5.69,4.99
2014,335,5.53,4.92
2014,336,5.56,4.74
2014,337,5.57,4.74
2014,338,6.34,4.19
2014,339,5.92,4.26
2014,340,5.87,4.81
2014,341,6.59,3.63
2014,342,7.44,4.14
2014,343,7.32,4.91
2014,344,6.39,4.33
2014,345,5.53,4.96
2014,346,2.58,5.11
2014,347,3.09,5.03
2014,348,4.07,4.48
2014,349,5.03,4.3
2014,350,5.43,3.9
2014,351,2.98,4.53
2014,352,2.4,4.73
2014,353,1.98,4.89
2014,354,3.56,4.86
2014,355,5.39,4.87
2014,356,4.84,4.89
2014,357,4.26,5.08
2014,358,2.61,4.95
2014,359,3.13,5
2014,360,4.71,4.99
2014,361,1.48,4.95
2014,362,1.78,5.09
2014,363,6.22,4.99
2014,364,7.86,4.6
2014,365,7.97,4.37
2015,1,7.92,4.92
2015,2,8.12,4.77
2015,3,7.75,4.41
2015,4,8.28,4.81
2015,5,8.52,4.93
2015,6,8.55,3.79
2015,7,8.35,0.32
2015,8,8.53,3.76
2015,9,8.63,4.72
2015,10,8.95,4.71
2015,11,9.13,5.01
2015,12,9.1,4.14
2015,13,8.89,5.13
2015,14,8.45,4.97
2015,15,8.36,4.96
2015,16,8.08,5.04
2015,17,6.68,5.17
2015,18,5.7,5.11
2015,19,5.63,5.24
2015,20,5.33,5.07
2015,21,6.24,5.16
2015,22,6.18,4.4
2015,23,5.33,4.88
2015,24,4.56,5.42
2015,25,4,5.45
2015,26,4.28,5.5
2015,27,7.48,5.51
2015,28,8.38,5.43
2015,29,5.8,5.54
2015,30,4.89,4.67
2015,31,5.6,5.25
2015,32,4.25,5.6
2015,33,3.91,5.67
2015,34,3.58,5.74
2015,35,5.18,5.53
2015,36,5.22,5.52
2015,37,5.38,5.03
2015,38,5.27,5.21
2015,39,4.59,6.01
2015,40,2.17,5.97
2015,41,2.02,6.08
2015,42,2.66,5.98
2015,43,2.48,5.84
2015,44,4.78,6.01
2015,45,6.83,5.88
2015,46,7.28,5.76
2015,47,6.6,5.38
2015,48,7.66,5.56
2015,49,8.8,5.65
2015,50,8.87,4.85
2015,51,9.05,5.62
2015,52,8.83,5.59
2015,53,8.12,6.15
2015,54,7.28,6.04
2015,55,6.51,6.43
2015,56,6.52,6.43
2015,57,7.34,6.5
2015,58,8.79,6.11
2015,59,8.81,5.77
2015,60,8.38,6.28
2015,61,7.21,6.34
2015,62,5.88,5.38
2015,63,6.49,3.82
2015,64,7.66,6.25
2015,65,6.99,6.36
2015,66,6.56,6.14
2015,67,7.48,4.8
2015,68,7.27,4.53
2015,69,7.62,4.82
2015,70,7.43,6.36
2015,71,6.5,6.45
2015,72,6.33,6.69
2015,73,6.02,6.46
2015,74,6.9,6.68
2015,75,6.36,6.36
2015,76,5.29,5.77
2015,77,5.21,5.67
2015,78,5.87,7.04
2015,79,6.14,6.76
2015,80,5.97,6.92
2015,81,5.85,7.06
2015,82,5.82,7.16
2015,83,6.35,6.91
2015,84,5.51,6.91
2015,85,4.43,7.07
2015,86,5.72,6.91
2015,87,5.93,7.27
2015,88,5.37,7.27
2015,89,4.22,7.4
2015,90,4.15,7.05
2015,91,5.83,6.3
2015,92,5.12,7.04
2015,93,5.84,6.73
2015,94,7.87,7.09
2015,95,7.86,6.6
2015,96,7.03,6.84
2015,97,7.2,7.34
2015,98,6.37,7.07
2015,99,6.45,7.47
2015,100,6.47,6.51
2015,101,7.21,7.23
2015,102,7.61,6.08
2015,103,6.63,6.93
2015,104,5.85,5.99
2015,105,4.84,6.56
2015,106,4.54,7.08
2015,107,5.71,6.45
2015,108,6.8,6.92
2015,109,6.32,7.47
2015,110,5.59,7.6
2015,111,6.12,6.79
2015,112,5.85,6.79
2015,113,4.89,7.25
2015,114,3.9,7.36
2015,115,3.76,7.09
2015,116,3.73,7.42
2015,117,4.75,7.49
2015,118,4.28,7.22
2015,119,4.89,7.2
2015,120,5.43,7.49
2015,121,4.7,7.29
2015,122,5.73,7.52
2015,123,6.55,7.56
2015,124,6.36,7.67
2015,125,6.05,6.89
2015,126,7.19,7.31
2015,127,6.68,7.6
2015,128,6.1,5.73
2015,129,5.59,7.52
2015,130,7.22,7.49
2015,131,7.67,7.21
2015,132,8.08,6.84
2015,133,7.68,6.86
2015,134,6.96,7.21
2015,135,6.26,6.56
2015,136,5.85,7.38
2015,137,5.95,5.71
2015,138,5.95,6.15
2015,139,5.86,6.96
2015,140,5.11,7.3
2015,141,5.9,6.12
2015,142,6.66,6.75
2015,143,7.3,7.17
2015,144,7.15,7.39
2015,145,6.48,7.28
2015,146,6.44,5.91
2015,147,6.76,6.7
2015,148,6.88,6.63
2015,149,6.97,6.83
2015,150,6.95,7.09
2015,151,6.73,7.55
2015,152,6.38,7.27
2015,153,6.47,6.3
2015,154,7.29,5.51
2015,155,7.42,6.64
2015,156,6.87,6.85
2015,157,6.49,6.91
2015,158,6.17,6.94
2015,159,6,6.74
2015,160,5.72,7.26
2015,161,6.54,7.21
2015,162,7,7.28
2015,163,6.76,7.07
2015,164,6.58,6.94
2015,165,6.46,6.61
2015,166,6.71,6.34
2015,167,7.16,6.66
2015,168,6.98,6.91
2015,169,6.9,7.07
2015,170,6.78,7.07
2015,171,6.64,6.7
2015,172,6.69,6.32
2015,173,7.32,6.62
2015,174,6.89,6.3
2015,175,6.44,6.12
2015,176,6.65,6.76
2015,177,7.19,6.98
2015,178,6.56,7
2015,179,6.88,7.08
2015,180,6.7,7.19
2015,181,7.5,7.1
2015,182,7.23,6.62
2015,305,6.83,5.76
2015,306,7,5.53
2015,307,6.37,5.64
