-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 11/01/2014 through 07/01/2015 ,,,,,
Location: Latitude  18.6126   Longitude -46.2224 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 0.0 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,KT
18.61261,-46.22239,2014,11,1,0.62
18.61261,-46.22239,2014,11,2,0.66
18.61261,-46.22239,2014,11,3,0.5
18.61261,-46.22239,2014,11,4,0.66
18.61261,-46.22239,2014,11,5,0.6
18.61261,-46.22239,2014,11,6,0.67
18.61261,-46.22239,2014,11,7,0.64
18.61261,-46.22239,2014,11,8,0.69
18.61261,-46.22239,2014,11,9,0.7
18.61261,-46.22239,2014,11,10,0.6
18.61261,-46.22239,2014,11,11,0.62
18.61261,-46.22239,2014,11,12,0.47
18.61261,-46.22239,2014,11,13,0.48
18.61261,-46.22239,2014,11,14,0.66
18.61261,-46.22239,2014,11,15,0.64
18.61261,-46.22239,2014,11,16,0.68
18.61261,-46.22239,2014,11,17,0.65
18.61261,-46.22239,2014,11,18,0.62
18.61261,-46.22239,2014,11,19,0.59
18.61261,-46.22239,2014,11,20,0.7
18.61261,-46.22239,2014,11,21,0.64
18.61261,-46.22239,2014,11,22,0.59
18.61261,-46.22239,2014,11,23,0.67
18.61261,-46.22239,2014,11,24,0.67
18.61261,-46.22239,2014,11,25,0.23
18.61261,-46.22239,2014,11,26,0.66
18.61261,-46.22239,2014,11,27,0.59
18.61261,-46.22239,2014,11,28,0.33
18.61261,-46.22239,2014,11,29,0.67
18.61261,-46.22239,2014,11,30,0.67
18.61261,-46.22239,2014,12,1,0.65
18.61261,-46.22239,2014,12,2,0.63
18.61261,-46.22239,2014,12,3,-999
18.61261,-46.22239,2014,12,4,0.56
18.61261,-46.22239,2014,12,5,0.57
18.61261,-46.22239,2014,12,6,0.65
18.61261,-46.22239,2014,12,7,0.48
18.61261,-46.22239,2014,12,8,0.56
18.61261,-46.22239,2014,12,9,0.66
18.61261,-46.22239,2014,12,10,0.6
18.61261,-46.22239,2014,12,11,0.67
18.61261,-46.22239,2014,12,12,0.68
18.61261,-46.22239,2014,12,13,0.67
18.61261,-46.22239,2014,12,14,0.6
18.61261,-46.22239,2014,12,15,0.6
18.61261,-46.22239,2014,12,16,0.55
18.61261,-46.22239,2014,12,17,0.6
18.61261,-46.22239,2014,12,18,0.63
18.61261,-46.22239,2014,12,19,0.65
18.61261,-46.22239,2014,12,20,0.66
18.61261,-46.22239,2014,12,21,0.65
18.61261,-46.22239,2014,12,22,0.67
18.61261,-46.22239,2014,12,23,0.7
18.61261,-46.22239,2014,12,24,0.7
18.61261,-46.22239,2014,12,25,0.66
18.61261,-46.22239,2014,12,26,0.7
18.61261,-46.22239,2014,12,27,0.68
18.61261,-46.22239,2014,12,28,0.69
18.61261,-46.22239,2014,12,29,0.67
18.61261,-46.22239,2014,12,30,0.62
18.61261,-46.22239,2014,12,31,0.6
18.61261,-46.22239,2015,1,1,0.68
18.61261,-46.22239,2015,1,2,0.64
18.61261,-46.22239,2015,1,3,0.58
18.61261,-46.22239,2015,1,4,0.64
18.61261,-46.22239,2015,1,5,0.69
18.61261,-46.22239,2015,1,6,0.51
18.61261,-46.22239,2015,1,7,0.04
18.61261,-46.22239,2015,1,8,0.5
18.61261,-46.22239,2015,1,9,0.62
18.61261,-46.22239,2015,1,10,0.64
18.61261,-46.22239,2015,1,11,0.67
18.61261,-46.22239,2015,1,12,0.55
18.61261,-46.22239,2015,1,13,0.68
18.61261,-46.22239,2015,1,14,0.66
18.61261,-46.22239,2015,1,15,0.64
18.61261,-46.22239,2015,1,16,0.68
18.61261,-46.22239,2015,1,17,0.66
18.61261,-46.22239,2015,1,18,0.65
18.61261,-46.22239,2015,1,19,0.66
18.61261,-46.22239,2015,1,20,0.68
18.61261,-46.22239,2015,1,21,0.65
18.61261,-46.22239,2015,1,22,0.56
18.61261,-46.22239,2015,1,23,0.62
18.61261,-46.22239,2015,1,24,0.69
18.61261,-46.22239,2015,1,25,0.7
18.61261,-46.22239,2015,1,26,0.72
18.61261,-46.22239,2015,1,27,0.7
18.61261,-46.22239,2015,1,28,0.7
18.61261,-46.22239,2015,1,29,0.68
18.61261,-46.22239,2015,1,30,0.58
18.61261,-46.22239,2015,1,31,0.65
18.61261,-46.22239,2015,2,1,0.66
18.61261,-46.22239,2015,2,2,0.67
18.61261,-46.22239,2015,2,3,0.68
18.61261,-46.22239,2015,2,4,0.68
18.61261,-46.22239,2015,2,5,0.67
18.61261,-46.22239,2015,2,6,0.61
18.61261,-46.22239,2015,2,7,0.6
18.61261,-46.22239,2015,2,8,0.72
18.61261,-46.22239,2015,2,9,0.7
18.61261,-46.22239,2015,2,10,0.68
18.61261,-46.22239,2015,2,11,0.7
18.61261,-46.22239,2015,2,12,0.67
18.61261,-46.22239,2015,2,13,0.71
18.61261,-46.22239,2015,2,14,0.69
18.61261,-46.22239,2015,2,15,0.66
18.61261,-46.22239,2015,2,16,0.6
18.61261,-46.22239,2015,2,17,0.63
18.61261,-46.22239,2015,2,18,0.65
18.61261,-46.22239,2015,2,19,0.54
18.61261,-46.22239,2015,2,20,0.62
18.61261,-46.22239,2015,2,21,0.63
18.61261,-46.22239,2015,2,22,0.69
18.61261,-46.22239,2015,2,23,0.65
18.61261,-46.22239,2015,2,24,0.71
18.61261,-46.22239,2015,2,25,-999
18.61261,-46.22239,2015,2,26,0.74
18.61261,-46.22239,2015,2,27,0.67
18.61261,-46.22239,2015,2,28,0.64
18.61261,-46.22239,2015,3,1,0.68
18.61261,-46.22239,2015,3,2,0.7
18.61261,-46.22239,2015,3,3,0.58
18.61261,-46.22239,2015,3,4,0.4
18.61261,-46.22239,2015,3,5,0.66
18.61261,-46.22239,2015,3,6,0.67
18.61261,-46.22239,2015,3,7,0.64
18.61261,-46.22239,2015,3,8,0.5
18.61261,-46.22239,2015,3,9,0.47
18.61261,-46.22239,2015,3,10,0.51
18.61261,-46.22239,2015,3,11,0.66
18.61261,-46.22239,2015,3,12,0.68
18.61261,-46.22239,2015,3,13,0.7
18.61261,-46.22239,2015,3,14,0.65
18.61261,-46.22239,2015,3,15,0.67
18.61261,-46.22239,2015,3,16,0.63
18.61261,-46.22239,2015,3,17,0.58
18.61261,-46.22239,2015,3,18,0.58
18.61261,-46.22239,2015,3,19,0.7
18.61261,-46.22239,2015,3,20,0.69
18.61261,-46.22239,2015,3,21,0.72
18.61261,-46.22239,2015,3,22,0.69
18.61261,-46.22239,2015,3,23,0.69
18.61261,-46.22239,2015,3,24,0.7
18.61261,-46.22239,2015,3,25,-999
18.61261,-46.22239,2015,3,26,0.69
18.61261,-46.22239,2015,3,27,0.66
18.61261,-46.22239,2015,3,28,0.69
18.61261,-46.22239,2015,3,29,0.75
18.61261,-46.22239,2015,3,30,0.72
18.61261,-46.22239,2015,3,31,0.7
18.61261,-46.22239,2015,4,1,0.62
18.61261,-46.22239,2015,4,2,0.67
18.61261,-46.22239,2015,4,3,0.66
18.61261,-46.22239,2015,4,4,0.69
18.61261,-46.22239,2015,4,5,0.64
18.61261,-46.22239,2015,4,6,0.67
18.61261,-46.22239,2015,4,7,0.73
18.61261,-46.22239,2015,4,8,0.68
18.61261,-46.22239,2015,4,9,0.73
18.61261,-46.22239,2015,4,10,0.61
18.61261,-46.22239,2015,4,11,0.7
18.61261,-46.22239,2015,4,12,0.58
18.61261,-46.22239,2015,4,13,0.68
18.61261,-46.22239,2015,4,14,0.57
18.61261,-46.22239,2015,4,15,0.61
18.61261,-46.22239,2015,4,16,0.66
18.61261,-46.22239,2015,4,17,0.6
18.61261,-46.22239,2015,4,18,0.66
18.61261,-46.22239,2015,4,19,0.69
18.61261,-46.22239,2015,4,20,0.74
